Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
1.63921867979842e-07,0.000132840317435501,3.35964021726241e-11,6.53199198424887e-10
2.63834355057526e-07,0.000213807943343005,8.70324702797364e-11,1.69203042206471e-09
4.24681841256408e-07,0.000344155998240222,2.25499412252726e-10,4.38359467547236e-09
6.795088945932e-07,0.000550662459195011,5.77307757645831e-10,1.12208568924654e-08
1.07478997305608e-06,0.000870987397968667,1.44431816234224e-09,2.80658757660012e-08
1.47007105151896e-06,0.00119130930119552,2.70203437820669e-09,5.24932781977643e-08
2.17201696145142e-06,0.0017601341356132,5.89845248685939e-09,1.14542911405431e-07
2.87396287138388e-06,0.00232894940816903,1.0326934192257e-08,2.00455914978241e-07
3.95537025703216e-06,0.00320523902551421,1.95604774702479e-08,3.79442161480635e-07
5.68395245803665e-06,0.00460590245074954,4.03924082794681e-08,7.82737954237033e-07
7.41253465904114e-06,0.00600650809947895,6.86951477832478e-08,1.32982154048909e-06
9.14111686004563e-06,0.00740705607383748,1.04468372506854e-07,2.02023982231395e-06
1.08696990610501e-05,0.00880754647557087,1.4771175958974e-07,2.85354123154311e-06
1.38377798415807e-05,0.0112121396748752,2.39387847754792e-07,4.61637058270973e-06
1.8931542494534e-05,0.0153384624222983,4.48046233028176e-07,8.61391184534945e-06
2.40253051474873e-05,0.0194642901806699,7.21556363545583e-07,1.38302059912608e-05
3.27562104558263e-05,0.0265349737698498,1.34118386082681e-06,2.55734586612844e-05
4.14871157641652e-05,0.0336042231652936,2.15127636179294e-06,4.08079835951724e-05
5.02180210725042e-05,0.0406720507529923,3.15179340595805e-06,5.94784489617591e-05
5.89489263808432e-05,0.047738468708248,4.34269486421175e-06,8.15303554959586e-05
6.76798316891822e-05,0.0548034890043816,5.72394092559285e-06,0.000106910005656171
8.65395375575957e-05,0.0700599869969804,9.3570594915659e-06,0.000172841507276928
0.000105399243426009,0.0853101335099927,1.38777625078538e-05,0.000253534444247941
0.000124258949294423,0.100554039861166,1.92856634806333e-05,0.000348485021951641
0.000143118655162836,0.115791813350195,2.55803822654684e-05,0.000457205659115191
0.00016197836103125,0.131023557352463,3.27615449137861e-05,0.000579224659290366
0.000180838066899663,0.146249371461969,4.0828783433768e-05,0.00071408567121743
0.000199697772768077,0.161469351663094,4.97817355182235e-05,0.000861347066079163
0.000232687822991631,0.188078916106088,6.75712030793634e-05,0.00114748241097464
0.000265677873215185,0.214671382044929,8.80678356990787e-05,0.00146807331773285
0.000298667923438739,0.241247191011921,0.000111269808256328,0.00182105499732307
0.000331657973662293,0.267806756934741,0.000137175339250631,0.00220447847499642
0.000364648023885847,0.294350467823311,0.000165782688167138,0.00261650441158249
0.000417010528355403,0.336449536912606,0.000216732207416686,0.00332498204350722
0.000503007297260136,0.405509083527584,0.000315150722606413,0.00461873532663622
0.00056450612560854,0.454836138310103,0.000396758196018443,0.00563121758093283
0.000626004953956943,0.504115489701233,0.000487715437169612,0.00670717746247429
0.000687503782305346,0.553348595253452,0.000588012845292211,0.00783933063006951
0.000749002610653749,0.602536748073272,0.000697641081620281,0.00902114562461422
0.000810501439002152,0.651681096449134,0.000816591038687624,0.0102467651666005
0.000872000267350556,0.700782660323371,0.000944853814513845,0.0115109379361355
0.000933499095698959,0.749842345465132,0.00108242069037722,0.0128089583997155
0.000994997924047362,0.798860956336145,0.00122928311065829,0.014136611783403
0.00105649675239577,0.847839207838067,0.00138543266445587,0.0154901235506895
0.00111799558074417,0.896777735704708,0.00155086106932658,0.0168661139807127
0.00117949440909257,0.945677105521348,0.00172556015716654,0.01826155784688
0.00124099323744097,0.994537820644896,0.00190952186181075,0.0196737483638668
0.00133517406523409,1.06929041019444,0.00220918132837687,0.0218634294474894
0.0014293548930272,1.14395477643504,0.0025305170878119,0.0240792178891281
0.00152353572082032,1.21853209138913,0.00287350122697322,0.0263147449775436
0.00161771654861343,1.29302334157299,0.00323810614806254,0.0285646538991769
0.00171189737640654,1.36742935831361,0.00362430452130528,0.0308244484159018
0.00180607820419966,1.44175084428935,0.00403206924348415,0.0330903590117347
0.00190025903199277,1.51598839618382,0.0044613734024893,0.03535922696183
0.00199443985978588,1.59014252295298,0.00491219024876234,0.0376284083035804
0.002088620687579,1.66421366041771,0.00538449317253168,0.0398956948332859
0.00218280151537211,1.73820218342142,0.00587825568484702,0.0421592470819468
0.00232721394200677,1.85149295382686,0.00667698757507693,0.0456194077470802
