seconds,mg
10,0.00162037
20,0.00162037
30,0.00162037
40,0.00162037
50,0.00162037
60,0.00162037
70,0.00162037
80,0.00162037
90,0.00162037
100,0.00162037
110,0.00162037
120,0.00162037
130,0.00162037
140,0.00162037
150,0.00162037
160,0.00162037
170,0.00162037
180,0.00162037
190,0.00162037
200,0.00162037
210,0.00162037
220,0.00162037
230,0.00162037
240,0.00162037
250,0.00162037
260,0.00162037
270,0.00162037
280,0.00162037
290,0.00162037
300,0.00162037
310,0.00162037
320,0.00162037
330,0.00162037
340,0.00162037
350,0.00162037
360,0.00162037
370,0.00162037
380,0.00162037
390,0.00162037
400,0.00162037
410,0.00162037
420,0.00162037
430,0.00162037
440,0.00162037
450,0.00162037
460,0.00162037
470,0.00162037
480,0.00162037
490,0.00162037
500,0.00162037
510,0.00162037
520,0.00162037
530,0.00162037
540,0.00162037
550,0.00162037
560,0.00162037
570,0.00162037
580,0.00162037
590,0.00162037
600,0.00162037
610,0.00162037
620,0.00162037
630,0.00162037
640,0.00162037
650,0.00162037
660,0.00162037
670,0.00162037
680,0.00162037
690,0.00162037
700,0.00162037
710,0.00162037
720,0.00162037
730,0.00162037
740,0.00162037
750,0.00162037
760,0.00162037
770,0.00162037
780,0.00162037
790,0.00162037
800,0.00162037
810,0.00162037
820,0.00162037
830,0.00162037
840,0.00162037
850,0.00162037
860,0.00162037
870,0.00162037
880,0.00162037
890,0.00162037
900,0.00162037
910,0.00162037
920,0.00162037
930,0.00162037
940,0.00162037
950,0.00162037
960,0.00162037
970,0.00162037
980,0.00162037
990,0.00162037
1000,0.00162037
1010,0.00162037
1020,0.00162037
1030,0.00162037
1040,0.00162037
1050,0.00162037
1060,0.00162037
1070,0.00162037
1080,0.00162037
1090,0.00162037
1100,0.00162037
1110,0.00162037
1120,0.00162037
1130,0.00162037
1140,0.00162037
1150,0.00162037
1160,0.00162037
1170,0.00162037
1180,0.00162037
1190,0.00162037
1200,0.00162037
1210,0.00162037
1220,0.00162037
1230,0.00162037
1240,0.00162037
1250,0.00162037
1260,0.00162037
1270,0.00162037
1280,0.00162037
1290,0.00162037
1300,0.00162037
1310,0.00162037
1320,0.00162037
1330,0.00162037
1340,0.00162037
1350,0.00162037
1360,0.00162037
1370,0.00162037
1380,0.00162037
1390,0.00162037
1400,0.00162037
1410,0.00162037
1420,0.00162037
1430,0.00162037
1440,0.00162037
1450,0.00162037
1460,0.00162037
1470,0.00162037
1480,0.00162037
1490,0.00162037
1500,0.00162037
1510,0.00162037
1520,0.00162037
1530,0.00162037
1540,0.00162037
1550,0.00162037
1560,0.00162037
1570,0.00162037
1580,0.00162037
1590,0.00162037
1600,0.00162037
1610,0.00162037
1620,0.00162037
1630,0.00162037
1640,0.00162037
1650,0.00162037
1660,0.00162037
1670,0.00162037
1680,0.00162037
1690,0.00162037
1700,0.00162037
1710,0.00162037
1720,0.00162037
1730,0.00162037
1740,0.00162037
1750,0.00162037
1760,0.00162037
1770,0.00162037
1780,0.00162037
1790,0.00162037
1800,0.00162037
1810,0.00162037
1820,0.00162037
1830,0.00162037
1840,0.00162037
1850,0.00162037
1860,0.00162037
1870,0.00162037
1880,0.00162037
1890,0.00162037
1900,0.00162037
1910,0.00162037
1920,0.00162037
1930,0.00162037
1940,0.00162037
1950,0.00162037
1960,0.00162037
1970,0.00162037
1980,0.00162037
1990,0.00162037
2000,0.00162037
2010,0.00162037
2020,0.00162037
2030,0.00162037
