seconds,mg
10,0.002430556
20,0.002430556
30,0.002430556
40,0.002430556
50,0.002430556
60,0.002430556
70,0.002430556
80,0.002430556
90,0.002430556
100,0.002430556
110,0.002430556
120,0.002430556
130,0.002430556
140,0.002430556
150,0.002430556
160,0.002430556
170,0.002430556
180,0.002430556
190,0.002430556
200,0.002430556
210,0.002430556
220,0.002430556
230,0.002430556
240,0.002430556
250,0.002430556
260,0.002430556
270,0.002430556
280,0.002430556
290,0.002430556
300,0.002430556
310,0.002430556
320,0.002430556
330,0.002430556
340,0.002430556
350,0.002430556
360,0.002430556
370,0.002430556
380,0.002430556
390,0.002430556
400,0.002430556
410,0.002430556
420,0.002430556
430,0.002430556
440,0.002430556
450,0.002430556
460,0.002430556
470,0.002430556
480,0.002430556
490,0.002430556
500,0.002430556
510,0.002430556
520,0.002430556
530,0.002430556
540,0.002430556
550,0.002430556
560,0.002430556
570,0.002430556
580,0.002430556
590,0.002430556
600,0.002430556
610,0.002430556
620,0.002430556
630,0.002430556
640,0.002430556
650,0.002430556
660,0.002430556
670,0.002430556
680,0.002430556
690,0.002430556
700,0.002430556
710,0.002430556
720,0.002430556
730,0.002430556
740,0.002430556
750,0.002430556
760,0.002430556
770,0.002430556
780,0.002430556
790,0.002430556
800,0.002430556
810,0.002430556
820,0.002430556
830,0.002430556
840,0.002430556
850,0.002430556
860,0.002430556
870,0.002430556
880,0.002430556
890,0.002430556
900,0.002430556
910,0.002430556
920,0.002430556
930,0.002430556
940,0.002430556
950,0.002430556
960,0.002430556
970,0.002430556
980,0.002430556
990,0.002430556
1000,0.002430556
1010,0.002430556
1020,0.002430556
1030,0.002430556
1040,0.002430556
1050,0.002430556
1060,0.002430556
1070,0.002430556
1080,0.002430556
1090,0.002430556
1100,0.002430556
1110,0.002430556
1120,0.002430556
1130,0.002430556
1140,0.002430556
1150,0.002430556
1160,0.002430556
1170,0.002430556
1180,0.002430556
1190,0.002430556
1200,0.002430556
1210,0.002430556
1220,0.002430556
1230,0.002430556
1240,0.002430556
1250,0.002430556
1260,0.002430556
1270,0.002430556
1280,0.002430556
1290,0.002430556
1300,0.002430556
1310,0.002430556
1320,0.002430556
1330,0.002430556
1340,0.002430556
1350,0.002430556
1360,0.002430556
1370,0.002430556
1380,0.002430556
1390,0.002430556
1400,0.002430556
1410,0.002430556
1420,0.002430556
1430,0.002430556
1440,0.002430556
1450,0.002430556
1460,0.002430556
1470,0.002430556
1480,0.002430556
1490,0.002430556
1500,0.002430556
1510,0.002430556
1520,0.002430556
1530,0.002430556
1540,0.002430556
1550,0.002430556
1560,0.002430556
1570,0.002430556
1580,0.002430556
1590,0.002430556
1600,0.002430556
1610,0.002430556
1620,0.002430556
1630,0.002430556
1640,0.002430556
1650,0.002430556
1660,0.002430556
1670,0.002430556
1680,0.002430556
1690,0.002430556
1700,0.002430556
1710,0.002430556
1720,0.002430556
1730,0.002430556
1740,0.002430556
1750,0.002430556
1760,0.002430556
1770,0.002430556
1780,0.002430556
1790,0.002430556
1800,0.002430556
1810,0.002430556
1820,0.002430556
1830,0.002430556
1840,0.002430556
1850,0.002430556
1860,0.002430556
1870,0.002430556
1880,0.002430556
1890,0.002430556
1900,0.002430556
1910,0.002430556
1920,0.002430556
1930,0.002430556
1940,0.002430556
1950,0.002430556
1960,0.002430556
1970,0.002430556
1980,0.002430556
1990,0.002430556
2000,0.002430556
2010,0.002430556
2020,0.002430556
2030,0.002430556
2040,0.002430556
2050,0.002430556
2060,0.002430556
2070,0.002430556
2080,0.002430556
2090,0.002430556
2100,0.002430556
2110,0.002430556
2120,0.002430556
2130,0.002430556
2140,0.002430556
2150,0.002430556
2160,0.002430556
2170,0.002430556
2180,0.002430556
2190,0.002430556
2200,0.002430556
2210,0.002430556
2220,0.002430556
2230,0.002430556
2240,0.002430556
2250,0.002430556
2260,0.002430556
2270,0.002430556
2280,0.002430556
2290,0.002430556
2300,0.002430556
2310,0.002430556
2320,0.002430556
2330,0.002430556
2340,0.002430556
2350,0.002430556
2360,0.002430556
2370,0.002430556
2380,0.002430556
2390,0.002430556
